,question,answer,options,meta_info,answer_idx,metamap_phrases,answer_cot,reasoning_cot
0,"A junior orthopaedic surgery resident is completing a carpal tunnel repair with the department chairman as the attending physician. During the case, the resident inadvertently cuts a flexor tendon. The tendon is repaired without complication. The attending tells the resident that the patient will do fine, and there is no need to report this minor complication that will not harm the patient, as he does not want to make the patient worry unnecessarily. He tells the resident to leave this complication out of the operative report. Which of the following is the correct next action for the resident to take?",Tell the attending that he cannot fail to disclose this mistake,"{'A': 'Disclose the error to the patient and put it in the operative report', 'B': 'Tell the attending that he cannot fail to disclose this mistake', 'C': 'Report the physician to the ethics committee', 'D': 'Refuse to dictate the operative report'}",step1,B,"['junior orthopaedic surgery resident' 'completing' 'carpal tunnel repair'
 'department chairman' 'attending physician' 'case' 'resident' 'cuts'
 'flexor tendon' 'tendon' 'repaired' 'complication' 'attending' 'resident'
 'patient' 'fine' 'need to report' 'minor complication' 'not' 'patient'
 'not' 'to make' 'patient worry' 'resident to leave' 'complication out'
 'operative report' 'following' 'correct next action' 'resident to take']",B,"1. The resident has a responsibility to uphold ethical standards in medicine, which includes transparency and honesty in patient care. 
2. The attending physician suggests not reporting the complication, which raises ethical concerns about patient safety and informed consent. 
3. The resident should recognize that even a minor complication, such as cutting a flexor tendon, should be documented in the operative report and disclosed to the patient, as it is part of their medical record and could impact future treatment. 
4. Option A (disclose the error to the patient and put it in the operative report) is correct in principle, but the resident should first address the matter with the attending physician. 
5. Option B (tell the attending that he cannot fail to disclose this mistake) is the most appropriate immediate action, as it emphasizes the resident's ethical obligation to report the complication while still communicating with the attending. 
6. Options C (report the physician to the ethics committee) and D (refuse to dictate the operative report) may be too extreme or unprofessional at this stage without first addressing the issue directly with the attending."
1,A 67-year-old man with transitional cell carcinoma of the bladder comes to the physician because of a 2-day history of ringing sensation in his ear. He received this first course of neoadjuvant chemotherapy 1 week ago. Pure tone audiometry shows a sensorineural hearing loss of 45 dB. The expected beneficial effect of the drug that caused this patient's symptoms is most likely due to which of the following actions?,Cross-linking of DNA,"{'A': 'Inhibition of proteasome', 'B': 'Hyperstabilization of microtubules', 'C': 'Generation of free radicals', 'D': 'Cross-linking of DNA'}",step1,D,"['67 year old man' 'transitional cell carcinoma of the bladder'
 'physician' '2-day history' 'ringing sensation' 'ear' 'received'
 'first course' 'neoadjuvant chemotherapy 1 week'
 'Pure tone audiometry shows' 'sensorineural hearing loss' 'dB'
 'expected beneficial effect' 'drug' 'caused' ""patient's symptoms""
 'most likely due to' 'following actions']",B,"The patient is experiencing sensorineural hearing loss after receiving neoadjuvant chemotherapy, which is indicative of a potential ototoxic effect of the chemotherapy agent used. In this case, the most likely drug causing the symptoms is a taxane (such as paclitaxel), which is known to hyperstabilize microtubules. This hyperstabilization prevents normal mitotic spindle function, leading to cell cycle arrest and apoptosis in cancer cells, which is the desired therapeutic effect. Therefore, the expected beneficial effect of the drug that caused this patient's symptoms is most likely due to 'Hyperstabilization of microtubules.'"
2,"Two weeks after undergoing an emergency cardiac catherization with stenting for unstable angina pectoris, a 61-year-old man has decreased urinary output and malaise. He has type 2 diabetes mellitus and osteoarthritis of the hips. Prior to admission, his medications were insulin and naproxen. He was also started on aspirin, clopidogrel, and metoprolol after the coronary intervention. His temperature is 38°C (100.4°F), pulse is 93/min, and blood pressure is 125/85 mm Hg. Examination shows mottled, reticulated purplish discoloration of the feet. Laboratory studies show:
Hemoglobin count 14 g/dL
Leukocyte count 16,400/mm3
Segmented neutrophils 56%
Eosinophils 11%
Lymphocytes 31%
Monocytes 2%
Platelet count 260,000/mm3
Erythrocyte sedimentation rate 68 mm/h
Serum
Urea nitrogen 25 mg/dL
Creatinine 4.2 mg/dL
Renal biopsy shows intravascular spindle-shaped vacuoles. Which of the following is the most likely cause of this patient's symptoms?""",Cholesterol embolization,"{'A': 'Renal papillary necrosis', 'B': 'Cholesterol embolization', 'C': 'Eosinophilic granulomatosis with polyangiitis', 'D': 'Polyarteritis nodosa'}",step2&3,B,"['Two weeks' 'emergency cardiac' 'stenting' 'unstable angina pectoris'
 '61 year old man' 'decreased urinary output' 'malaise'
 'type 2 diabetes mellitus' 'osteoarthritis of' 'hips' 'admission'
 'medications' 'insulin' 'naproxen' 'started' 'aspirin' 'clopidogrel'
 'metoprolol' 'coronary intervention' 'temperature' '100 4F' 'pulse' 'min'
 'blood pressure' '85 mm Hg' 'Examination shows mottled' 'reticulated'
 'discoloration' 'feet' 'Laboratory studies show' 'Hemoglobin count'
 'Leukocyte 16' 'neutrophils' 'Platelet count'
 'Erythrocyte sedimentation rate' 'h Serum Urea nitrogen' 'mg'
 'Creatinine' 'mg'
 'Renal biopsy shows intravascular spindle shaped vacuoles' 'following'
 'most likely cause' 'patient' 'ymptoms?']",B,"The patient is presenting with decreased urinary output, malaise, fever, and mottled discoloration of the feet, which suggests a systemic process. The laboratory findings show elevated creatinine and urea nitrogen, indicating acute kidney injury. The presence of eosinophilia (11% eosinophils) and the renal biopsy revealing intravascular spindle-shaped vacuoles are significant. These findings are consistent with cholesterol embolization syndrome, which can occur after cardiac procedures like catheterization, especially in patients with atherosclerosis. The mottled discoloration of the feet may represent livedo reticularis, which is associated with cholesterol emboli. Other options like renal papillary necrosis, eosinophilic granulomatosis with polyangiitis, and polyarteritis nodosa do not explain the specific findings as well as cholesterol embolization does."
3,"A 39-year-old woman is brought to the emergency department because of fevers, chills, and left lower quadrant pain. Her temperature is 39.1°C (102.3°F), pulse is 126/min, respirations are 28/min, and blood pressure is 80/50 mm Hg. There is blood oozing around the site of a peripheral intravenous line. Pelvic examination shows mucopurulent discharge from the cervical os and left adnexal tenderness. Laboratory studies show:
Platelet count 14,200/mm3
Fibrinogen 83 mg/mL (N = 200–430 mg/dL)
D-dimer 965 ng/mL (N < 500 ng/mL)
When phenol is applied to a sample of the patient's blood at 90°C, a phosphorylated N-acetylglucosamine dimer with 6 fatty acids attached to a polysaccharide side chain is identified. A blood culture is most likely to show which of the following?""","Lactose-fermenting, gram-negative rods forming pink colonies on MacConkey agar","{'A': 'Coagulase-positive, gram-positive cocci forming mauve-colored colonies on methicillin-containing agar', 'B': 'Encapsulated, gram-negative coccobacilli forming grey-colored colonies on charcoal blood agar', 'C': 'Spore-forming, gram-positive bacilli forming yellow colonies on casein agar', 'D': 'Lactose-fermenting, gram-negative rods forming pink colonies on MacConkey agar'}",step1,D,"['year old woman' 'brought' 'emergency department' 'fevers' 'chills'
 'left lower quadrant pain' 'temperature' 'pulse' 'min' 'respirations'
 'min' 'blood pressure' '80 50 mm Hg' 'blood' 'site of' 'peripheral line'
 'Pelvic examination shows mucopurulent discharge' 'cervical os'
 'left adnexal tenderness' 'Laboratory studies show' 'Platelet count'
 '200 mm3 Fibrinogen 83 mg/mL' 'N' 'mg/dL' 'D-dimer' 'ng/mL' 'N'
 '500 ng/mL' 'phenol' 'applied' 'sample' 'patient' 'lood '
 'cetylglucosamine  imer ' 'atty acids  ttached '
 'olysaccharide  ide  hain ' 'dentified.' 'lood culture '
 'ost likely  o  how ' 'ollowing?']",B,"The clinical presentation suggests a severe infection, possibly septicemia, with symptoms like fever, chills, and hypotension. The laboratory findings indicate thrombocytopenia (low platelet count), low fibrinogen, and elevated D-dimer, which are consistent with disseminated intravascular coagulation (DIC), often associated with severe infections. The presence of mucopurulent discharge from the cervical os and left adnexal tenderness points towards a possible pelvic inflammatory disease or an abscess. 

The specific laboratory finding of a phosphorylated N-acetylglucosamine dimer with 6 fatty acids suggests the presence of lipopolysaccharides, which are characteristic of gram-negative bacteria. Given the context of severe infection and the laboratory findings, the most likely organism cultured from blood would be an encapsulated, gram-negative coccobacilli, which is consistent with *Haemophilus influenzae* or *Moraxella catarrhalis*. 

Thus, the most likely answer is 'B': Encapsulated, gram-negative coccobacilli forming grey-colored colonies on charcoal blood agar."
4,"A 35-year-old man comes to the physician because of itchy, watery eyes for the past week. He has also been sneezing multiple times a day during this period. He had a similar episode 1 year ago around springtime. He has iron deficiency anemia and ankylosing spondylitis. Current medications include ferrous sulfate, artificial tear drops, and indomethacin. He works as an elementary school teacher. His vital signs are within normal limits. Visual acuity is 20/20 without correction. Physical examination shows bilateral conjunctival injection with watery discharge. The pupils are 3 mm, equal, and reactive to light. Examination of the anterior chamber of the eye is unremarkable. Which of the following is the most appropriate treatment?",Ketotifen eye drops,"{'A': 'Erythromycin ointment', 'B': 'Ketotifen eye drops', 'C': 'Warm compresses', 'D': 'Fluorometholone eye drops'}",step2&3,B,"['35 year old man' 'physician' 'of itchy' 'watery' 'past week'
 'sneezing multiple times' 'day' 'period' 'similar episode' 'year'
 'iron deficiency anemia' 'ankylosing spondylitis'
 'Current medications include ferrous sulfate' 'artificial tear drops'
 'indomethacin' 'works' 'elementary school teacher' 'vital signs'
 'normal limits' 'Visual acuity' '20/20' 'correction'
 'Physical examination shows bilateral injection' 'watery' 'pupils' '3 mm'
 'equal' 'reactive to light' 'Examination of the anterior chamber' 'eye'
 'unremarkable' 'following' 'most appropriate treatment']",B,"The patient presents with symptoms consistent with allergic conjunctivitis, characterized by itchy, watery eyes and sneezing. His symptoms are seasonal, occurring around springtime, which further supports this diagnosis. The physical examination shows bilateral conjunctival injection and watery discharge, typical of allergic reactions. 

Given the options: 
- A: Erythromycin ointment is an antibiotic used for bacterial conjunctivitis, which is not indicated here since the symptoms suggest an allergic cause. 
- B: Ketotifen eye drops are an antihistamine and mast cell stabilizer that can help relieve allergic symptoms, making it the most appropriate choice for treating allergic conjunctivitis. 
- C: Warm compresses may provide some symptomatic relief but do not address the underlying allergic reaction. 
- D: Fluorometholone eye drops are a corticosteroid used for inflammatory conditions but are not typically first-line treatment for allergic conjunctivitis. 

Therefore, the most appropriate treatment for this patient is B: Ketotifen eye drops."
5,A 39-year-old man presents to the emergency department because of progressively worsening chest pain and nausea that started at a local bar 30 minutes prior. The pain radiates to the epigastric area. He has a 5-year history of untreated hypertension. He has smoked 1 pack of cigarettes daily for the past 5 years and started abusing cocaine 2 weeks before his emergency room visit. The patient is diaphoretic and in marked distress. What should be the first step in management?,Reassurance and continuous monitoring,"{'A': 'Diltiazem', 'B': 'Labetalol', 'C': 'Propranolol', 'D': 'Reassurance and continuous monitoring'}",step2&3,D,"['year old man presents' 'emergency department' 'worsening chest pain'
 'nausea' 'started' 'local' '30 minutes prior' 'pain radiates'
 'epigastric area' '5 year history of untreated hypertension'
 'smoked 1 pack' 'cigarettes daily' 'past' 'years'
 'started abusing cocaine 2 weeks' 'emergency room visit' 'patient'
 'diaphoretic' 'marked distress' 'first step' 'management']",B,"1. The patient is a 39-year-old man with chest pain, nausea, and a history of untreated hypertension, smoking, and recent cocaine use. Cocaine can lead to increased sympathetic stimulation and vasoconstriction, which can precipitate acute coronary syndrome (ACS) or hypertensive emergencies.

2. The symptoms of chest pain radiating to the epigastric area, along with diaphoresis, suggest a potential cardiac event, possibly related to cocaine use. 

3. In cases of cocaine-induced chest pain or hypertensive emergencies, the goal is to reduce heart rate and blood pressure to prevent further myocardial ischemia.

4. Among the options provided: 
   - Diltiazem (A) is a calcium channel blocker that can be used in some cases but is not the first-line treatment for acute management of cocaine-related chest pain.
   - Labetalol (B) is a combined alpha and beta-blocker that is effective in managing hypertension and can help with chest pain related to cocaine use.
   - Propranolol (C) is a beta-blocker but does not have the alpha-blocking properties that are beneficial in the context of cocaine use.
   - Reassurance and continuous monitoring (D) is not sufficient given the patient's distress and potential for a serious cardiac event.

5. Therefore, the first step in management for this patient should be to administer Labetalol to address the hypertension and chest pain associated with cocaine use."
6,A 68-year-old male comes to the physician for evaluation of right flank pain. He has a history of diabetes and peripheral artery disease. His blood pressure is 160/90 mm Hg. Physical examination shows abdominal tenderness and right flank tenderness. An ultrasound shows dilation of the right ureter and renal pelvis. Which of the following is the most likely underlying cause of this patient's condition?,Common iliac artery aneurysm,"{'A': 'Renal artery stenosis', 'B': 'Benign prostatic hyperplasia', 'C': 'Common iliac artery aneurysm', 'D': 'Urethral stricture'}",step1,C,"['68 year old male' 'physician' 'evaluation' 'right flank pain' 'history'
 'diabetes' 'peripheral artery disease' 'blood pressure' '90 mm Hg'
 'Physical examination shows abdominal tenderness' 'right'
 'ultrasound shows dilation of' 'right ureter' 'renal pelvis' 'following'
 'most likely underlying cause' ""patient's condition""]",B,"1. The patient is a 68-year-old male with right flank pain and ultrasound findings of dilation of the right ureter and renal pelvis, indicating a possible obstruction in the urinary tract.
2. Given the patient's age and gender, benign prostatic hyperplasia (BPH) is a common condition that can lead to urinary obstruction due to enlargement of the prostate gland.
3. BPH can cause urinary retention and back pressure, leading to dilation of the ureters and renal pelvis as seen in this patient.
4. The other options, while they may cause similar symptoms, are less likely: 
   - A: Renal artery stenosis typically leads to hypertension and renal ischemia rather than obstruction.
   - C: Common iliac artery aneurysm could cause abdominal pain but is not directly related to ureteral dilation.
   - D: Urethral stricture could cause obstruction but is less common than BPH in older males. 
5. Therefore, the most likely underlying cause of this patient's condition is benign prostatic hyperplasia."
7,"A 65-year-old man is brought to the emergency department 30 minutes after the onset of acute chest pain. He has hypertension and asthma. Current medications include atorvastatin, lisinopril, and an albuterol inhaler. He appears pale and diaphoretic. His pulse is 114/min and blood pressure is 130/88 mm Hg. An ECG shows ST-segment depressions in leads II, III, and aVF. Laboratory studies show an increased serum troponin T concentration. The patient is treated for acute coronary syndrome and undergoes percutaneous transluminal coronary angioplasty. At the time of discharge, echocardiography shows a left ventricular ejection fraction of 58%. In addition to aspirin, which of the following drugs should be added to this patient's medication regimen?",Clopidogrel,"{'A': 'Nifedipine', 'B': 'Enoxaparin', 'C': 'Clopidogrel', 'D': 'Spironolactone'}",step2&3,C,"['65 year old man' 'brought' 'emergency department 30 minutes'
 'onset of acute' 'hypertension' 'asthma'
 'Current medications include atorvastatin' 'lisinopril'
 'albuterol inhaler' 'appears pale' 'diaphoretic' 'pulse' 'min'
 'blood pressure' '88 mm Hg' 'ECG shows ST-segment depressions' 'leads'
 'III' 'aVF' 'Laboratory studies show'
 'increased serum troponin T concentration' 'patient' 'treated'
 'acute coronary syndrome'
 'percutaneous transluminal coronary angioplasty' 'time' 'discharge'
 'echocardiography shows' 'left ventricular ejection fraction of 58'
 'aspirin' 'following drugs' 'added' ""patient's medication regimen""]",C,"1. The patient has been diagnosed with acute coronary syndrome (ACS) and has undergone percutaneous transluminal coronary angioplasty (PTCA). 
2. For patients with ACS, especially those undergoing stenting, dual antiplatelet therapy (DAPT) is recommended to reduce the risk of thrombotic events. 
3. Aspirin is already part of the regimen; therefore, an additional antiplatelet medication is needed. 
4. Clopidogrel is a commonly used antiplatelet agent that is often added to aspirin in patients who have undergone PCI (percutaneous coronary intervention) like this patient. 
5. Nifedipine is a calcium channel blocker that is not indicated specifically for this scenario. 
6. Enoxaparin is an anticoagulant but is typically used during the acute phase and may not be necessary at discharge if the patient is stable. 
7. Spironolactone is a diuretic and aldosterone antagonist that may be considered in certain heart failure situations but is not specifically indicated for this patient at discharge. 
8. Therefore, the best choice to add to the medication regimen at discharge, in addition to aspirin, is Clopidogrel."
8,"A 37-year-old-woman presents to her primary care physician requesting a new form of birth control. She has been utilizing oral contraceptive pills (OCPs) for the past 8 years, but asks to switch to an intrauterine device (IUD). Her vital signs are: blood pressure 118/78 mm Hg, pulse 73/min and respiratory rate 16/min. She is afebrile. Physical examination is within normal limits. Which of the following past medical history statements would make copper IUD placement contraindicated in this patient?",Active or recurrent pelvic inflammatory disease (PID),"{'A': 'A history of stroke or venous thromboembolism', 'B': 'Active or recurrent pelvic inflammatory disease (PID)', 'C': 'Past medical history of breast cancer', 'D': 'Known liver neoplasm'}",step2&3,B,"['year old woman presents' 'primary care physician requesting' 'new form'
 'birth control' 'oral contraceptive pills' 'past' 'years' 'to switch'
 'intrauterine device' 'vital signs' 'blood pressure' 'mm Hg' 'pulse'
 'min' 'respiratory rate' 'min' 'afebrile' 'Physical examination'
 'normal limits' 'of' 'following past medical statements'
 'make copper IUD placement contraindicated' 'patient']",B,"To determine which past medical history statement would contraindicate copper IUD placement, we need to evaluate each option:

A. A history of stroke or venous thromboembolism - This is more of a concern with hormonal contraceptives, as they can increase the risk of thromboembolic events. Copper IUDs do not carry this risk, so this is not a contraindication.

B. Active or recurrent pelvic inflammatory disease (PID) - The presence of active or recurrent PID is a contraindication for the placement of an IUD, as it can increase the risk of complications such as further infection or infertility.

C. Past medical history of breast cancer - This is typically a contraindication for hormonal contraceptives, but not for copper IUDs. Women with a history of breast cancer can usually use copper IUDs safely.

D. Known liver neoplasm - This is also a contraindication for hormonal contraceptives, but not specifically for copper IUDs.

Thus, the only option that directly contraindicates the placement of a copper IUD is option B, active or recurrent pelvic inflammatory disease."
9,A 23-year-old woman comes to the physician because she is embarrassed about the appearance of her nails. She has no history of serious illness and takes no medications. She appears well. A photograph of the nails is shown. Which of the following additional findings is most likely in this patient?,Silvery plaques on extensor surfaces,"{'A': 'Silvery plaques on extensor surfaces', 'B': 'Flesh-colored papules in the lumbosacral region', 'C': 'Erosions of the dental enamel', 'D': 'Holosystolic murmur at the left lower sternal border'}",step1,A,"['23 year old woman' 'physician' 'embarrassed' 'appearance of' 'nails'
 'history' 'serious illness' 'takes' 'medications' 'appears well'
 'photograph' 'nails' 'shown' 'following additional findings'
 'most likely' 'patient']",A,"The patient is likely experiencing nail changes associated with psoriasis, which commonly presents with silvery plaques on extensor surfaces. The appearance of the nails could suggest nail psoriasis, which often accompanies skin lesions. The other options describe findings associated with different conditions: 'B' suggests a condition like fibromatosis or other dermatological issues, 'C' indicates dental erosion possibly related to gastroesophageal reflux disease, and 'D' refers to a heart murmur indicative of valvular heart disease. Thus, the most likely additional finding in this patient, considering the context of nail abnormalities, is 'A': silvery plaques on extensor surfaces."
