,question,answer,options,meta_info,answer_idx,metamap_phrases,predictions,reasoning
0,"A junior orthopaedic surgery resident is completing a carpal tunnel repair with the department chairman as the attending physician. During the case, the resident inadvertently cuts a flexor tendon. The tendon is repaired without complication. The attending tells the resident that the patient will do fine, and there is no need to report this minor complication that will not harm the patient, as he does not want to make the patient worry unnecessarily. He tells the resident to leave this complication out of the operative report. Which of the following is the correct next action for the resident to take?",Tell the attending that he cannot fail to disclose this mistake,"{'A': 'Disclose the error to the patient and put it in the operative report', 'B': 'Tell the attending that he cannot fail to disclose this mistake', 'C': 'Report the physician to the ethics committee', 'D': 'Refuse to dictate the operative report'}",step1,B,"['junior orthopaedic surgery resident' 'completing' 'carpal tunnel repair'
 'department chairman' 'attending physician' 'case' 'resident' 'cuts'
 'flexor tendon' 'tendon' 'repaired' 'complication' 'attending' 'resident'
 'patient' 'fine' 'need to report' 'minor complication' 'not' 'patient'
 'not' 'to make' 'patient worry' 'resident to leave' 'complication out'
 'operative report' 'following' 'correct next action' 'resident to take']",B,"', step_by_step='1. The resident is faced with an ethical dilemma where the attending physician is advising to omit a complication from the operative report and not disclose it to the patient. \\n2. The resident must consider the principles of medical ethics, which include honesty, transparency, and the duty to inform the patient of any complications that may arise from their treatment. \\n3. Omitting the complication from the operative report could lead to legal and ethical repercussions for both the resident and the attending, as well as potentially affect the future care of the patient. \\n4. The resident should assert their professional responsibility to disclose the error, emphasizing the importance of transparency in medical practice. \\n5. Therefore, the most appropriate action for the resident is to communicate to the attending that they cannot ethically fail to disclose the mistake (Option B"
1,A 67-year-old man with transitional cell carcinoma of the bladder comes to the physician because of a 2-day history of ringing sensation in his ear. He received this first course of neoadjuvant chemotherapy 1 week ago. Pure tone audiometry shows a sensorineural hearing loss of 45 dB. The expected beneficial effect of the drug that caused this patient's symptoms is most likely due to which of the following actions?,Cross-linking of DNA,"{'A': 'Inhibition of proteasome', 'B': 'Hyperstabilization of microtubules', 'C': 'Generation of free radicals', 'D': 'Cross-linking of DNA'}",step1,D,"['67 year old man' 'transitional cell carcinoma of the bladder'
 'physician' '2-day history' 'ringing sensation' 'ear' 'received'
 'first course' 'neoadjuvant chemotherapy 1 week'
 'Pure tone audiometry shows' 'sensorineural hearing loss' 'dB'
 'expected beneficial effect' 'drug' 'caused' ""patient's symptoms""
 'most likely due to' 'following actions']",B,"', step_by_step='1. The patient has transitional cell carcinoma of the bladder and received neoadjuvant chemotherapy, which suggests he is likely receiving a chemotherapeutic agent.\\n2. The symptoms of ringing in the ear (tinnitus"
2,"Two weeks after undergoing an emergency cardiac catherization with stenting for unstable angina pectoris, a 61-year-old man has decreased urinary output and malaise. He has type 2 diabetes mellitus and osteoarthritis of the hips. Prior to admission, his medications were insulin and naproxen. He was also started on aspirin, clopidogrel, and metoprolol after the coronary intervention. His temperature is 38°C (100.4°F), pulse is 93/min, and blood pressure is 125/85 mm Hg. Examination shows mottled, reticulated purplish discoloration of the feet. Laboratory studies show:
Hemoglobin count 14 g/dL
Leukocyte count 16,400/mm3
Segmented neutrophils 56%
Eosinophils 11%
Lymphocytes 31%
Monocytes 2%
Platelet count 260,000/mm3
Erythrocyte sedimentation rate 68 mm/h
Serum
Urea nitrogen 25 mg/dL
Creatinine 4.2 mg/dL
Renal biopsy shows intravascular spindle-shaped vacuoles. Which of the following is the most likely cause of this patient's symptoms?""",Cholesterol embolization,"{'A': 'Renal papillary necrosis', 'B': 'Cholesterol embolization', 'C': 'Eosinophilic granulomatosis with polyangiitis', 'D': 'Polyarteritis nodosa'}",step2&3,B,"['Two weeks' 'emergency cardiac' 'stenting' 'unstable angina pectoris'
 '61 year old man' 'decreased urinary output' 'malaise'
 'type 2 diabetes mellitus' 'osteoarthritis of' 'hips' 'admission'
 'medications' 'insulin' 'naproxen' 'started' 'aspirin' 'clopidogrel'
 'metoprolol' 'coronary intervention' 'temperature' '100 4F' 'pulse' 'min'
 'blood pressure' '85 mm Hg' 'Examination shows mottled' 'reticulated'
 'discoloration' 'feet' 'Laboratory studies show' 'Hemoglobin count'
 'Leukocyte 16' 'neutrophils' 'Platelet count'
 'Erythrocyte sedimentation rate' 'h Serum Urea nitrogen' 'mg'
 'Creatinine' 'mg'
 'Renal biopsy shows intravascular spindle shaped vacuoles' 'following'
 'most likely cause' 'patient' 'ymptoms?']",B,"', step_by_step=\""1. The patient has a history of unstable angina pectoris and underwent cardiac catheterization with stenting, which can lead to vascular complications including embolization. \\n2. The symptoms of decreased urinary output, malaise, and mottled, reticulated purplish discoloration of the feet suggest a systemic issue, possibly related to vascular occlusion or embolization. \\n3. The laboratory findings show elevated creatinine (4.2 mg/dL"
3,"A 39-year-old woman is brought to the emergency department because of fevers, chills, and left lower quadrant pain. Her temperature is 39.1°C (102.3°F), pulse is 126/min, respirations are 28/min, and blood pressure is 80/50 mm Hg. There is blood oozing around the site of a peripheral intravenous line. Pelvic examination shows mucopurulent discharge from the cervical os and left adnexal tenderness. Laboratory studies show:
Platelet count 14,200/mm3
Fibrinogen 83 mg/mL (N = 200–430 mg/dL)
D-dimer 965 ng/mL (N < 500 ng/mL)
When phenol is applied to a sample of the patient's blood at 90°C, a phosphorylated N-acetylglucosamine dimer with 6 fatty acids attached to a polysaccharide side chain is identified. A blood culture is most likely to show which of the following?""","Lactose-fermenting, gram-negative rods forming pink colonies on MacConkey agar","{'A': 'Coagulase-positive, gram-positive cocci forming mauve-colored colonies on methicillin-containing agar', 'B': 'Encapsulated, gram-negative coccobacilli forming grey-colored colonies on charcoal blood agar', 'C': 'Spore-forming, gram-positive bacilli forming yellow colonies on casein agar', 'D': 'Lactose-fermenting, gram-negative rods forming pink colonies on MacConkey agar'}",step1,D,"['year old woman' 'brought' 'emergency department' 'fevers' 'chills'
 'left lower quadrant pain' 'temperature' 'pulse' 'min' 'respirations'
 'min' 'blood pressure' '80 50 mm Hg' 'blood' 'site of' 'peripheral line'
 'Pelvic examination shows mucopurulent discharge' 'cervical os'
 'left adnexal tenderness' 'Laboratory studies show' 'Platelet count'
 '200 mm3 Fibrinogen 83 mg/mL' 'N' 'mg/dL' 'D-dimer' 'ng/mL' 'N'
 '500 ng/mL' 'phenol' 'applied' 'sample' 'patient' 'lood '
 'cetylglucosamine  imer ' 'atty acids  ttached '
 'olysaccharide  ide  hain ' 'dentified.' 'lood culture '
 'ost likely  o  how ' 'ollowing?']",B,"', step_by_step=\""The patient presents with fever, chills, left lower quadrant pain, and signs of septic shock (low blood pressure, tachycardia, and tachypnea"
4,"A 35-year-old man comes to the physician because of itchy, watery eyes for the past week. He has also been sneezing multiple times a day during this period. He had a similar episode 1 year ago around springtime. He has iron deficiency anemia and ankylosing spondylitis. Current medications include ferrous sulfate, artificial tear drops, and indomethacin. He works as an elementary school teacher. His vital signs are within normal limits. Visual acuity is 20/20 without correction. Physical examination shows bilateral conjunctival injection with watery discharge. The pupils are 3 mm, equal, and reactive to light. Examination of the anterior chamber of the eye is unremarkable. Which of the following is the most appropriate treatment?",Ketotifen eye drops,"{'A': 'Erythromycin ointment', 'B': 'Ketotifen eye drops', 'C': 'Warm compresses', 'D': 'Fluorometholone eye drops'}",step2&3,B,"['35 year old man' 'physician' 'of itchy' 'watery' 'past week'
 'sneezing multiple times' 'day' 'period' 'similar episode' 'year'
 'iron deficiency anemia' 'ankylosing spondylitis'
 'Current medications include ferrous sulfate' 'artificial tear drops'
 'indomethacin' 'works' 'elementary school teacher' 'vital signs'
 'normal limits' 'Visual acuity' '20/20' 'correction'
 'Physical examination shows bilateral injection' 'watery' 'pupils' '3 mm'
 'equal' 'reactive to light' 'Examination of the anterior chamber' 'eye'
 'unremarkable' 'following' 'most appropriate treatment']",B,"', step_by_step='The patient is experiencing itchy, watery eyes and sneezing, which are indicative of allergic conjunctivitis, especially given the seasonal nature of his symptoms. His symptoms started a week ago and he had a similar episode last year, suggesting a recurrent allergic response. The physical examination shows bilateral conjunctival injection with watery discharge, which is consistent with allergic conjunctivitis. \\n\\n1. **Erythromycin ointment (Option A"
5,A 39-year-old man presents to the emergency department because of progressively worsening chest pain and nausea that started at a local bar 30 minutes prior. The pain radiates to the epigastric area. He has a 5-year history of untreated hypertension. He has smoked 1 pack of cigarettes daily for the past 5 years and started abusing cocaine 2 weeks before his emergency room visit. The patient is diaphoretic and in marked distress. What should be the first step in management?,Reassurance and continuous monitoring,"{'A': 'Diltiazem', 'B': 'Labetalol', 'C': 'Propranolol', 'D': 'Reassurance and continuous monitoring'}",step2&3,D,"['year old man presents' 'emergency department' 'worsening chest pain'
 'nausea' 'started' 'local' '30 minutes prior' 'pain radiates'
 'epigastric area' '5 year history of untreated hypertension'
 'smoked 1 pack' 'cigarettes daily' 'past' 'years'
 'started abusing cocaine 2 weeks' 'emergency room visit' 'patient'
 'diaphoretic' 'marked distress' 'first step' 'management']",B,"', step_by_step=\""1. The patient is a 39-year-old man with a history of untreated hypertension, smoking, and recent cocaine use, presenting with chest pain and nausea. \\n2. Cocaine use can lead to increased sympathetic stimulation, causing vasoconstriction and increased heart rate, which can precipitate myocardial ischemia and chest pain. \\n3. In cases of cocaine-associated chest pain, the first step in management is to control hypertension and reduce myocardial oxygen demand. \\n4. Labetalol is a mixed alpha and beta-blocker that can effectively lower blood pressure and heart rate without causing significant vasoconstriction, making it suitable for managing cocaine-induced hypertension. \\n5. Other options like diltiazem and propranolol are not the first-line treatments in this scenario, and reassurance without treatment is inappropriate given the patient's distress and symptoms.\"""
6,A 68-year-old male comes to the physician for evaluation of right flank pain. He has a history of diabetes and peripheral artery disease. His blood pressure is 160/90 mm Hg. Physical examination shows abdominal tenderness and right flank tenderness. An ultrasound shows dilation of the right ureter and renal pelvis. Which of the following is the most likely underlying cause of this patient's condition?,Common iliac artery aneurysm,"{'A': 'Renal artery stenosis', 'B': 'Benign prostatic hyperplasia', 'C': 'Common iliac artery aneurysm', 'D': 'Urethral stricture'}",step1,C,"['68 year old male' 'physician' 'evaluation' 'right flank pain' 'history'
 'diabetes' 'peripheral artery disease' 'blood pressure' '90 mm Hg'
 'Physical examination shows abdominal tenderness' 'right'
 'ultrasound shows dilation of' 'right ureter' 'renal pelvis' 'following'
 'most likely underlying cause' ""patient's condition""]",B,"', step_by_step=\""1. The patient is a 68-year-old male with right flank pain and a history of diabetes and peripheral artery disease. \\n2. The ultrasound shows dilation of the right ureter and renal pelvis, indicating obstruction in the urinary outflow tract.\\n3. In older males, benign prostatic hyperplasia (BPH"
7,"A 65-year-old man is brought to the emergency department 30 minutes after the onset of acute chest pain. He has hypertension and asthma. Current medications include atorvastatin, lisinopril, and an albuterol inhaler. He appears pale and diaphoretic. His pulse is 114/min and blood pressure is 130/88 mm Hg. An ECG shows ST-segment depressions in leads II, III, and aVF. Laboratory studies show an increased serum troponin T concentration. The patient is treated for acute coronary syndrome and undergoes percutaneous transluminal coronary angioplasty. At the time of discharge, echocardiography shows a left ventricular ejection fraction of 58%. In addition to aspirin, which of the following drugs should be added to this patient's medication regimen?",Clopidogrel,"{'A': 'Nifedipine', 'B': 'Enoxaparin', 'C': 'Clopidogrel', 'D': 'Spironolactone'}",step2&3,C,"['65 year old man' 'brought' 'emergency department 30 minutes'
 'onset of acute' 'hypertension' 'asthma'
 'Current medications include atorvastatin' 'lisinopril'
 'albuterol inhaler' 'appears pale' 'diaphoretic' 'pulse' 'min'
 'blood pressure' '88 mm Hg' 'ECG shows ST-segment depressions' 'leads'
 'III' 'aVF' 'Laboratory studies show'
 'increased serum troponin T concentration' 'patient' 'treated'
 'acute coronary syndrome'
 'percutaneous transluminal coronary angioplasty' 'time' 'discharge'
 'echocardiography shows' 'left ventricular ejection fraction of 58'
 'aspirin' 'following drugs' 'added' ""patient's medication regimen""]",C,"', step_by_step=\""1. The patient has acute coronary syndrome (ACS"
8,"A 37-year-old-woman presents to her primary care physician requesting a new form of birth control. She has been utilizing oral contraceptive pills (OCPs) for the past 8 years, but asks to switch to an intrauterine device (IUD). Her vital signs are: blood pressure 118/78 mm Hg, pulse 73/min and respiratory rate 16/min. She is afebrile. Physical examination is within normal limits. Which of the following past medical history statements would make copper IUD placement contraindicated in this patient?",Active or recurrent pelvic inflammatory disease (PID),"{'A': 'A history of stroke or venous thromboembolism', 'B': 'Active or recurrent pelvic inflammatory disease (PID)', 'C': 'Past medical history of breast cancer', 'D': 'Known liver neoplasm'}",step2&3,B,"['year old woman presents' 'primary care physician requesting' 'new form'
 'birth control' 'oral contraceptive pills' 'past' 'years' 'to switch'
 'intrauterine device' 'vital signs' 'blood pressure' 'mm Hg' 'pulse'
 'min' 'respiratory rate' 'min' 'afebrile' 'Physical examination'
 'normal limits' 'of' 'following past medical statements'
 'make copper IUD placement contraindicated' 'patient']",B,"', step_by_step=\""To determine contraindications for copper IUD placement, we need to consider the specific conditions that would make it unsafe for the patient. \\n\\n1. **A history of stroke or venous thromboembolism (A"
9,A 23-year-old woman comes to the physician because she is embarrassed about the appearance of her nails. She has no history of serious illness and takes no medications. She appears well. A photograph of the nails is shown. Which of the following additional findings is most likely in this patient?,Silvery plaques on extensor surfaces,"{'A': 'Silvery plaques on extensor surfaces', 'B': 'Flesh-colored papules in the lumbosacral region', 'C': 'Erosions of the dental enamel', 'D': 'Holosystolic murmur at the left lower sternal border'}",step1,A,"['23 year old woman' 'physician' 'embarrassed' 'appearance of' 'nails'
 'history' 'serious illness' 'takes' 'medications' 'appears well'
 'photograph' 'nails' 'shown' 'following additional findings'
 'most likely' 'patient']",A,"', step_by_step=\""The patient's concern about the appearance of her nails suggests a dermatological condition. Given the options, we can analyze each one:\\n\\n- **A: Silvery plaques on extensor surfaces** - This finding is characteristic of psoriasis, which often presents with nail changes such as pitting, ridging, and discoloration. If the nails are affected by psoriasis, it is likely that the patient may also have silvery plaques on her skin.\\n\\n- **B: Flesh-colored papules in the lumbosacral region** - This finding is typical of dermatofibromas or other benign skin lesions, which are less likely to be related to nail appearance.\\n\\n- **C: Erosions of the dental enamel** - This is more commonly associated with conditions like bulimia or gastroesophageal reflux disease, which do not seem to fit the patient's presentation.\\n\\n- **D: Holosystolic murmur at the left lower sternal border** - This finding suggests a cardiac condition, such as mitral regurgitation, which is unrelated to nail appearance.\\n\\nConsidering the most likely associated finding with nail changes, silvery plaques on extensor surfaces (Option A"
